id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,season
691406,"Caminero, Junior",33,0.868421052631579,29,79.914381212,0.9393939393939392,0.1724137931034483,0.1515151515151515,0.1379310344827586,0.1212121212121212,8.33215303,1,-0.1970193602956309,4,0.1212121212121212,17,0.5151515151515151,2015
665833,"Cruz, Oneil",39,0.8863636363636364,29,79.584492051,0.8205128205128204,0.3448275862068966,0.2564102564102564,0.2758620689655172,0.2051282051282051,7.658194615,2,0.5125391631978922,10,0.2564102564102564,17,0.4358974358974359,2015
691023,"Walker, Jordan",51,0.9622641509433962,36,78.607883529,0.8627450980392156,0.2222222222222222,0.1568627450980392,0.1388888888888889,0.0980392156862745,7.934957059,0,0.8252343205320309,15,0.2941176470588235,14,0.2745098039215686,2015
678877,"Noel, Jhonkensy",19,1.0,14,77.835753158,0.6842105263157895,0.2142857142857142,0.1578947368421052,0.2142857142857142,0.1578947368421052,7.373239474,0,-2.0771770045123423,5,0.2631578947368421,9,0.4736842105263157,2015
670242,"Wallner, Matt",42,0.9333333333333332,21,77.326981429,0.8095238095238095,0.2857142857142857,0.1428571428571428,0.0952380952380952,0.0476190476190476,7.368198333,1,-1.823386520023365,21,0.5,10,0.238095238095238,2015
670541,"Alvarez, Yordan",50,0.925925925925926,38,76.9326292,0.7799999999999999,0.1578947368421052,0.12,0.0789473684210526,0.06,7.9093148,0,-3.0114540109885506,12,0.24,14,0.28,2015
660271,"Ohtani, Shohei",50,0.8928571428571429,39,76.6581688,0.66,0.4358974358974359,0.34,0.358974358974359,0.28,8.1661332,3,3.658071970071004,11,0.22,21,0.42,2015
666176,"Adell, Jo",14,0.8235294117647058,11,76.556478571,0.5714285714285714,0.3636363636363636,0.2857142857142857,0.2727272727272727,0.2142857142857142,7.776032143,1,-0.6293051811795334,3,0.2142857142857142,7,0.5,2015
592450,"Judge, Aaron",28,0.9032258064516128,18,76.481192857,0.7142857142857143,0.6111111111111112,0.3928571428571428,0.5,0.3214285714285714,8.343971071,0,4.479744852500484,10,0.3571428571428571,12,0.4285714285714285,2015
695578,"Wood, James",43,0.8958333333333334,32,76.414781163,0.6511627906976745,0.25,0.1860465116279069,0.21875,0.1627906976744186,7.432511628,1,-0.4613604992540571,11,0.2558139534883721,10,0.2325581395348837,2015
683146,"Baty, Brett",28,0.9032258064516128,20,76.382413929,0.6428571428571428,0.4,0.2857142857142857,0.15,0.1071428571428571,7.777241429,0,-2.739738874929957,8,0.2857142857142857,9,0.3214285714285714,2015
656941,"Schwarber, Kyle",27,0.8709677419354839,21,76.364338148,0.7407407407407407,0.4761904761904761,0.3703703703703703,0.4285714285714285,0.3333333333333333,7.659024444,1,3.121631571311124,6,0.2222222222222222,14,0.5185185185185185,2015
575929,"Contreras, Willson",49,0.9074074074074074,30,76.239445306,0.6326530612244898,0.2,0.1224489795918367,0.0666666666666666,0.0408163265306122,7.933593878,1,-5.255273072670836,19,0.3877551020408163,13,0.2653061224489796,2015
624413,"Alonso, Pete",48,0.979591836734694,39,76.168539792,0.6041666666666666,0.358974358974359,0.2916666666666667,0.2564102564102564,0.2083333333333333,7.154422708,0,-1.3066305063847337,9,0.1875,18,0.375,2015
673357,"Robert Jr., Luis",43,0.8958333333333334,29,76.161041628,0.6511627906976744,0.2413793103448276,0.1627906976744186,0.1724137931034483,0.1162790697674418,7.976796279,1,-2.504409911989557,14,0.3255813953488372,15,0.3488372093023256,2015
663624,"Mountcastle, Ryan",42,0.9333333333333332,28,76.136237381,0.5952380952380952,0.3928571428571428,0.2619047619047619,0.2142857142857142,0.1428571428571428,7.667194286,2,-1.372336488504467,14,0.3333333333333333,16,0.3809523809523809,2015
